ticker_yahoo;ticker_investing
A2A.MI;A2
AMP.MI;AMPF.MI
G.MI;GASI.MI
AZM.MI;AZMT.MI
BMED.MI;BMED.MI
BMPS.MI;BMPS.MI
BPSO.MI;BPSI.MI
BAMI.MI;BAMI.MI
BPE.MI;EMII.MI
BC.MI;BCU.MI
BZU.MI;BZU.MI
CPR.MI;CPRI.MI
DIA.MI;DIAS.MI
ENEL.MI;ENEI.MI
ENI.MI;ENI.MI
RACE.MI;RACE.MI
FCT.MI;FCT.MI
FBK.MI;FBK.MI
HER.MI;HRA.MI
ISP.MI;ISP.MI
INW.MI;INWT.MI
IG.MI;IG.MI
IVG.MI;IVG.MI
LDO.MI;LDOF.MI
LTMC.MI;LTMC.MI
MB.MI;MDBI.MI
MONC.MI;MONC.MI
NEXI.MI;NEXII.MI
PST.MI;PST.MI
PRY.MI;PRY.MI
REC.MI;RECI.MI
SPM.MI;SPMI.MI
SRG.MI;SRG.MI
STLAM.MI;STLAM.MI
STMMI.MI;STMMI.MI
TIT.MI;TLIT.MI
TEN.MI;TENR.MI
TRN.MI;TRN.MI
UCG.MI;CRDI.MI
UNI.MI;UNPI.MI
FTSEMIB.MI;IT40
IP.MI;ITPG
